article_name,nb_in_unfinished_paths,nb_in_finished_paths,nb_links,views
Albigensian Crusade,3,14,15,19907.29126213592
Albinism,5,22,14,55090.563106796115
Albrecht Dürer,4,11,42,38217.6213592233
Albrecht Rodenbach,0,0,2,169.92233009708738
Alchemy,49,140,144,86963.77669902913
Alcibiades,7,11,19,22894.300970873788
Alcohol,49,137,83,66398.6213592233
Aleksandr Pushkin,5,15,22,1415.9417475728155
Aleksandr Vasilevsky,3,6,13,7185.0873786407765
Aleksey Arakcheyev,0,0,4,715.2718446601941
Alexander Graham Bell,6,102,27,113005.49514563107
Alexander Hamilton,6,29,46,509570.63106796116
Alexander the Great,58,132,134,367769.2621359223
Alfred Hitchcock,18,27,38,145507.572815534
Alfred Nobel,10,40,21,61653.31067961165
Alfred the Great,15,33,50,205666.71844660194
Algebra,18,114,41,63539.26213592233
Algeria,25,76,172,176612.0
Algerian Civil War,6,13,17,11455.330097087379
Algiers,5,22,66,35652.077669902916
Algol,3,12,14,5815.543689320389
Algoma Central Railway,0,0,6,1621.4757281553398
Algorithm,40,84,46,105510.91262135922
Alice's Adventures in Wonderland,11,23,30,122885.11650485436
All Blacks,9,39,20,4415.864077669903
All You Need Is Love (The JAMs song),0,0,11,480.5728155339806
All your base are belong to us,0,0,1,29889.47572815534
Allah,11,54,31,87161.19417475729
Allegory in the Middle Ages,10,12,8,2035.8446601941748
Alligator,11,34,17,60519.155339805824
Alliterative verse,3,8,12,5865.504854368932
Allosaurus,4,22,34,30393.844660194176
Almaty,1,13,11,46767.35922330097
Almond,10,44,45,72708.47572815535
Alpaca,6,41,24,64133.854368932036
Alphabet,29,69,33,73689.16504854368
Alternating current,14,43,39,62526.53398058253
Alternation of generations,3,16,6,12133.796116504855
Alternative rock,21,51,43,92866.00970873787
Aluminium,50,172,207,130456.55339805825
Aluminium chloride,33,96,20,16707.766990291264
Alzheimer's disease,26,56,22,133754.00970873787
Amaranth oil,4,2,3,476.2330097087379
"Amarillo, Texas",5,7,49,31758.165048543688
Amazon Basin,17,50,24,3858.5242718446602
Amazon Rainforest,25,110,45,9959.970873786408
Amazon River,27,120,51,67359.17475728155
Amazon parrot,4,43,8,4649.679611650486
Amber,9,35,72,52066.01941747573
Amda Seyon I,0,0,16,1599.611650485437
American Civil War,104,232,179,432068.92233009706
American English,81,148,59,63515.844660194176
American Revolutionary War,61,128,104,215324.2427184466
American Samoa,8,32,39,91042.02912621359
American football,86,129,81,153898.25242718446
American popular music,52,77,48,5653.058252427184
Americium,6,28,29,16474.922330097088
Amish,2,18,27,132148.3786407767
Ammolite,4,12,45,6976.553398058252
Ammonia,15,59,110,103547.28155339806
Ammonite,5,15,35,4924.485436893204
Ammosaurus,4,14,15,334.7378640776699
Amsterdam,22,85,101,174240.20388349515
Amtrak,59,71,98,55338.28155339806
Amur,7,12,24,4778.601941747573
Anaconda,13,48,30,46745.05825242718
Analytical Marxism,4,18,10,3113.4951456310678
Anarchism,20,55,86,84951.96116504855
Anarcho-capitalism,7,15,18,36337.155339805824
Anatomy,53,106,36,47680.58252427184
Ancient Egypt,240,456,191,154332.78640776698
Ancient Greece,229,702,228,123795.88349514564
Ancient Rome,156,456,269,108497.06796116506
Ancient history,16,24,124,47721.78640776699
Andes,8,57,66,52102.446601941745
Andorra,10,15,95,145833.0291262136
Andrés Nocioni,3,2,12,3751.776699029126
Andrew Carnegie,14,16,53,100845.49514563107
Andrew Dickson White,3,6,13,2587.9126213592235
Andrew Gonzalez,0,0,8,666.7864077669902
Andrew Jackson,6,21,38,208467.47572815535
Andrew Johnson,8,18,24,122688.89320388349
Andrew Robinson,6,10,14,362.9611650485437
Andriyivskyy Descent,1,8,14,1137.0970873786407
Andromeda Galaxy,21,43,23,79542.14563106796
Andy Warhol,13,42,27,243911.81553398058
Anemia,26,43,37,102346.15533980583
Angel shark,6,22,7,2402.9126213592235
Angelica,2,12,8,9656.786407766991
Angkor,3,16,42,16434.398058252427
Angkor Wat,6,22,25,122348.05825242719
Anglican Church of Australia,7,12,11,4093.9514563106795
Anglican Communion,9,53,73,29036.59223300971
Anglicanism,17,67,94,62422.922330097084
Anglo-Saxon literature,5,9,38,841.9902912621359
Angola,9,29,101,120422.36893203884
Anguilla,4,15,33,49575.728155339806
Animal,629,1573,575,259754.12621359224
Animal law,8,27,2,1859.9320388349515
Animal rights,29,70,52,22209.495145631066
Animation,123,204,27,71382.5145631068
Ankylosaurus,3,12,33,22689.766990291264
"Ann Arbor, Michigan",6,6,38,35618.029126213594
Anna Karenina,2,14,23,80990.12621359223
Anne Frank,13,68,50,261056.4563106796
Anne of Great Britain,12,29,61,222.3398058252427
Annibale Bugnini,0,0,5,1381.0
Anno Domini,27,42,98,131780.8058252427
Anschluss,9,18,46,49991.679611650485
Ant,35,101,1051,67139.82524271845
Antananarivo,2,21,17,19344.44660194175
Antarctic Treaty System,4,15,57,24366.058252427185
Antarctic krill,3,37,37,5465.0679611650485
Antarctica,51,289,168,182360.20388349515
Antarctosaurus,0,0,15,1051.8640776699028
Anteater,4,19,12,33434.66019417476
Antelope,16,64,49,35950.47572815534
Anthony van Dyck,1,7,25,12465.553398058253
Anthropology,77,126,96,100802.32038834952
Antigua and Barbuda,5,9,77,56781.611650485436
Antimony,3,11,48,43157.446601941745
Antlion,5,24,6,20405.26213592233
Antoine Lavoisier,13,31,43,36072.398058252424
Antonín Dvořák,5,1,28,35373.961165048546
Anton Alexander von Werner,0,0,4,32.77669902912621
Antonio Vivaldi,5,19,30,52556.854368932036
Antwerp,8,31,98,55659.30097087379
Apaochi,0,9,2,29.637254901960784
Apatosaurus,9,46,23,20702.038834951458
Ape,21,119,32,41303.57281553398
Aphid,10,15,25,36838.446601941745
Apollo,38,64,118,145055.1941747573
Apollo 11,65,227,35,205860.12621359224
Apollo 8,29,68,30,32618.14563106796
Apostolic Succession,10,18,28,143.93203883495147
Apple,53,220,103,139678.25242718446
Applied mathematics,10,57,19,19861.126213592233
Apricot,6,45,48,41824.21359223301
Aquarium,22,102,76,24600.40776699029
Arab-Israeli conflict,5,24,39,999.8252427184466
Arab League,7,20,66,49073.46601941747
Arabic language,74,226,254,89623.09708737864
Arable land,8,23,47,17971.26213592233
"Aradia, or the Gospel of the Witches",0,0,10,2817.9514563106795
Aral Sea,5,16,35,61101.31067961165
Arcadia (play),1,1,12,7507.961165048544
Archaeoastronomy,3,13,38,6357.844660194175
Archaeology,74,189,120,48761.728155339806
Archaeopteryx,9,36,34,27701.85436893204
Archbishop of Canterbury,53,117,96,32962.63106796116
Archimedes,16,36,35,92612.46601941748
Architecture,46,123,147,68526.74757281554
Architecture of Windows NT,1,0,3,8263.213592233009
Architecture of the California missions,0,0,20,1773.9417475728155
Arctic,35,171,261,42132.31067961165
Arctic Circle,20,58,33,52504.80582524272
Arctic Monkeys,9,52,29,123131.01941747573
Arctic Ocean,52,176,60,36622.76699029126
Arctic Tern,4,21,36,813.252427184466
Arecaceae,9,34,53,37898.398058252424
Argan,1,15,10,1167.495145631068
Argentina,43,200,352,315237.4466019418
Argon,6,58,76,48031.83495145631
Argyle diamond mine,4,8,15,3987.883495145631
Ariel Sharon,4,22,36,41323.94174757282
Aristarchus (crater),2,3,12,1302.6504854368932
Aristotle,134,309,142,193322.88349514562
Arithmetic,20,143,31,29819.436893203885
Armadillo,11,29,24,67424.97087378641
"Armand Jean du Plessis, Cardinal Richelieu",1,2,28,697.7378640776699
Armenia,9,24,288,244623.1359223301
Armia Krajowa,4,3,21,3936.6796116504856
Arnold Schwarzenegger,29,77,28,630441.1262135922
Arp2 3 complex,0,0,7,4.336734693877551
Ars moriendi,7,4,14,4308.844660194175
Arsenal F.C.,7,16,32,387355.4854368932
Arsenic,9,49,78,60645.48543689321
Art,226,562,471,259129.25242718446
Arthropod,32,73,55,90429.47572815535
Arthur Ernest Percival,0,0,33,588.3786407766991
Arthur Sullivan,4,7,30,11072.271844660194
Arthur Upfield,0,0,9,1480.2330097087379
"Arthur Wellesley, 1st Duke of Wellington",7,15,67,72042.74757281554
Arts and crafts,5,13,14,686.7087378640776
Aruba,4,17,53,111920.40776699029
Arugula,5,14,12,2312.970873786408
Ascariasis,1,9,19,14010.932038834952
Asia,287,1126,623,194384.2718446602
Asp (reptile),0,0,9,15301.388349514564
Asparagus,12,40,22,49416.23300970874
Asperger syndrome,10,9,29,298883.0970873786
Assyria,5,16,44,75439.60194174758
Astatine,8,19,22,25414.631067961163
Asteroid,765,1162,75,45600.320388349515
Asthma,13,32,43,71469.38834951456
Astrology,33,75,81,112666.58252427184
Astronomy,90,401,170,57986.34951456311
Astrophysics Data System,0,0,36,1508.3203883495146
Asunción,1,7,18,15681.339805825242
Ateneo de Manila University,0,0,17,11984.815533980582
Athanasius Kircher,3,6,54,7269.582524271845
Atheism,22,65,89,94237.08737864078
Athena,21,85,41,125300.26213592233
Athens,79,234,170,104624.98058252427
Athletics (track and field),24,19,32,695.5684210526316
"Atlanta, Georgia",11,35,114,28241.844660194176
Atlantic Coast Line Railroad,5,12,10,2799.5145631067962
Atlantic Ocean,382,1243,375,91267.60194174758
Atlantic herring,0,0,19,5097.873786407767
Atlantic slave trade,31,100,73,97220.43689320388
Atlantis,12,20,60,121564.07766990291
Atom,52,306,111,98351.67961165048
Atonality,3,13,14,8079.631067961165
Attack on Pearl Harbor,42,116,57,287561.9126213592
Attalus I,7,12,14,2049.9417475728155
Attention-deficit hyperactivity disorder,4,27,11,4144.407766990291
Attila the Hun,10,32,50,8946.747572815533
Auckland,4,27,43,84297.6504854369
"Augusta, Lady Gregory",1,2,24,3416.7281553398057
Augustan literature,6,9,53,6715.184466019417
Auguste Rodin,4,10,24,28372.26213592233
Augustine of Hippo,22,27,63,98198.0
Augustus,12,32,68,189836.7572815534
Australia,272,956,1097,674048.4854368932
Australian English,14,35,27,22859.68932038835
Australian Green Tree Frog,12,80,24,149.60194174757282
Australian Open,18,36,30,98943.6213592233
Australian Ringneck,0,0,7,87.84313725490196
Australian constitutional law,0,0,19,2261.223300970874
Australian rules football,10,44,39,46980.26213592233
Austria,49,227,280,245842.16504854368
Autism,11,45,33,142141.79611650485
Auto racing,14,51,28,27733.68932038835
Autobianchi Primula,0,0,2,801.8252427184466
Autocracy,12,36,23,34785.01941747573
Automated teller machine,4,3,34,46576.145631067964
Automatic number plate recognition,0,0,20,5467.504854368932
Automobile,116,261,117,34097.83495145631
Autorack,6,14,14,3197.368932038835
Autostereogram,0,0,6,19194.64077669903
Autumn,11,48,55,61504.601941747576
Avacha Volcano,3,12,8,54.37864077669903
Avalanche,17,51,26,23185.864077669903
Avatar  The Last Airbender,0,0,4,
Avocado,6,28,48,120501.213592233
Avon Gorge,4,13,21,1345.5533980582525
Avro Lancaster,4,2,21,38075.029126213594
Axe,14,42,56,20871.59223300971
Ayaan Hirsi Ali,4,12,35,39029.82524271845
Aye-aye,0,0,9,24311.135922330097
"Aymer de Valence, 2nd Earl of Pembroke",2,1,15,3558.893203883495
Azerbaijan,13,42,283,262650.66019417474
Azerbaijani people,8,22,57,6190.281553398058
Aztec,25,106,56,41929.34951456311
BAE Systems,6,14,25,50098.6213592233
BASIC,5,31,7,37349.0
BBC,92,202,249,243037.76699029127
BBC television drama,4,11,36,1750.009708737864
BP,7,12,34,88937.53398058252
BT Tower,4,8,13,11233.766990291262
B vitamins,16,38,15,50172.611650485436
Babe Ruth,11,32,16,175156.6796116505
Baboon,8,34,10,35456.728155339806
Babur,2,18,26,99656.07766990291
Baby Gender Mentor,0,1,7,640.8543689320388
Babylonia,17,68,55,54573.2427184466
Backgammon,13,35,38,63045.11650485437
Bacteria,81,227,148,101253.88349514564
Baden-Powell House,0,0,8,1922.9029126213593
Badger,4,20,23,59168.58252427184
Badminton,15,22,37,121496.38834951456
Badugi,0,0,0,1578.7572815533981
Baghdad,18,82,88,63551.12621359223
Bahá'í Faith,5,14,77,82292.92233009709
Bahamas,0,0,144,20045.582524271846
Bahrain,10,21,85,177904.87378640776
Baker Island,4,8,14,14636.601941747573
Bald Eagle,47,202,35,4120.42718446602
Baltic Sea,46,95,111,46178.611650485436
"Baltimore, Maryland",8,16,67,14186.223300970874
Bamako,11,47,20,18015.81553398058
Banana,25,203,102,143715.09708737864
Bandicoot,11,10,10,24252.417475728154
Bangalore,3,13,50,165870.21359223302
Bangkok,12,32,49,110719.54368932039
Bangladesh,12,52,149,378503.11650485435
Banjul,1,16,16,11078.04854368932
Bank of China (Hong Kong),0,2,11,3905.73786407767
Banknote,22,36,34,23956.26213592233
Banksy,3,5,12,171182.87378640776
Bantu,7,21,42,1843.7864077669904
Barack Obama,8,34,49,1029787.5922330098
Barbados,27,56,134,141598.01941747573
Barbara McClintock,1,16,18,10440.378640776698
Barbary Lion,2,11,19,1043.3106796116506
Barbary Macaque,3,8,17,196.84466019417476
Barcelona,13,51,102,163694.15533980582
Barium,5,60,49,26888.495145631066
Barley,42,93,58,66800.38834951456
Barn Owl,5,25,15,2728.242718446602
Barnacle,10,21,19,47399.57281553398
Baroque,9,50,127,68486.19417475729
Barracuda,13,20,14,40490.23300970874
Baruch Spinoza,5,17,55,52646.80582524272
Baseball,68,165,91,106750.15533980583
Basel,6,14,40,44711.53398058253
Basil,11,28,61,53840.52427184466
Basil Brush,0,0,8,10626.747572815533
Basilica of San Francesco d'Assisi,1,3,6,2223.873786407767
Basilica of Santa Maria degli Angeli,3,11,3,736.1165048543689
Basketball,51,146,119,191799.14563106795
Basking shark,13,63,24,36716.844660194176
Bass (fish),2,2,5,16663.019417475727
Basset Hound,0,0,9,33732.81553398058
Bassoon,1,26,21,25603.582524271846
Bat,33,106,1003,91997.93203883494
Bat-eared Fox,5,28,11,58.84466019417476
"Bath, Somerset",4,4,67,51960.82524271845
Bath School disaster,2,5,11,32052.85436893204
Batholith,4,15,14,6071.563106796117
Batman,356,627,16,244699.7281553398
Battle of Alesia,3,26,14,20561.40776699029
Battle of Amiens,0,17,14,196.6601941747573
Battle of Austerlitz,3,16,22,43832.48543689321
Battle of Badr,4,12,14,35801.29126213592
Battle of Bicocca,1,9,12,2181.9417475728155
Battle of Britain,16,49,51,75373.10679611651
Battle of Cannae,5,16,10,37461.17475728155
Battle of France,4,17,42,70144.98058252427
Battle of Gettysburg,18,45,20,98203.84466019417
Battle of Grunwald,4,6,26,19818.64077669903
Battle of Hastings,14,39,27,77390.71844660194
Battle of Jutland,4,12,18,45524.0
Battle of Lechaeum,0,10,4,694.6990291262136
Battle of Leyte Gulf,7,16,19,46829.99029126213
Battle of Marathon,6,23,24,35408.76699029126
Battle of Midway,18,46,27,138570.2427184466
Battle of Moscow,4,31,25,36037.93203883495
Battle of Normandy,12,40,66,1009.3883495145631
Battle of Rennell Island,1,11,15,3805.6796116504856
Battle of Sitka,3,2,13,2631.631067961165
Battle of Smolensk (1943),2,0,15,3370.4563106796118
Battle of Stalingrad,8,43,39,154365.4854368932
Battle of Tours,5,15,31,26688.699029126212
Battle of Vaslui,3,9,10,3486.9417475728155
Battle of Warsaw (1920),3,7,27,10675.388349514564
Battle of the Bulge,13,25,44,123344.32038834952
Battle of the Eastern Solomons,4,8,23,6917.466019417476
Battle of the Little Bighorn,3,3,10,99269.67961165048
Battle of the Santa Cruz Islands,3,21,17,14044.757281553399
Battle of the Somme (1916),6,10,26,1129.2135922330096
Battles of the Mexican-American War,0,1,8,150.83333333333334
Bay Area Rapid Transit,4,18,11,20102.40776699029
Bay of Bengal,11,51,32,31882.0
Beach,16,45,52,28298.47572815534
Bean,13,708,35,44650.844660194176
Bear,13,43,62,96043.36893203884
Beatles for Sale,1,16,19,26349.582524271846
Beaver,19,56,45,60293.05825242718
Bedbug,11,17,14,1852.0194174757282
Bede,9,15,39,25721.233009708736
Bee,27,125,302,69353.91262135922
Beeching Axe,2,12,19,2406.7087378640776
Beekeeping,8,33,23,28180.601941747573
Beep (SWBLW),1,2,4,109.97087378640776
Beer,88,234,103,86710.35922330097
Beet,6,24,109,3556.2038834951454
Beetle,24,80,37,47495.71844660194
Behavioral finance,9,17,6,1661.1456310679612
Behistun Inscription,4,5,21,10144.83495145631
Beijing,31,89,190,131350.93203883496
Beirut,3,30,62,92168.3786407767
Belarus,14,38,140,247065.79611650485
Belfast,9,34,49,78841.31067961165
Belgium,49,173,291,289875.4854368932
Belize,3,27,83,160142.96116504853
Belton House,0,0,19,3868.8058252427186
Ben-Hur (1959 film),0,0,9,79966.43689320388
Ben Jonson,10,17,33,21819.73786407767
Ben Nevis,1,20,19,33274.71844660194
Bench language,0,0,4,651.4854368932039
Benin,5,27,83,92872.49514563107
Benito Mussolini,16,58,64,240324.7766990291
Benjamin Britten,3,16,23,22000.466019417476
"Benjamin Disraeli, 1st Earl of Beaconsfield",5,5,43,4373.485436893204
Benjamin Franklin,22,89,61,268820.0291262136
Benjamin Harrison,4,16,34,74150.60194174758
Benjamin Mountfort,0,0,23,726.6796116504854
Benjamin of Tudela,0,0,16,2866.4368932038833
Benzene,7,20,41,77489.10679611651
Berber languages,8,11,37,29496.3786407767
Beriberi,4,15,30,17460.650485436894
Berkelium,3,17,22,7774.0291262135925
Berlin,30,127,260,164288.05825242717
Berlin Wall,11,74,43,182667.12621359224
Bermuda,25,46,80,129744.71844660194
Bernard Hinault,5,5,9,8805.242718446601
Bertrand Russell,7,29,99,88019.85436893204
Beryllium,4,31,53,43930.35922330097
Betelgeuse incident,0,0,14,75.81553398058253
Bette Davis,3,20,30,156740.0485436893
Bhutan,7,26,94,180020.15533980582
Bible,115,273,170,1473739.6990291262
Bicycle,20,41,80,79917.47572815535
Bicycle Thieves,6,14,7,23257.368932038837
Big Bang,52,143,77,161518.33980582524
Bill Clinton,31,101,131,451689.52427184465
Bill Gates,48,115,41,481347.8349514563
Billie Holiday,9,15,17,136389.50485436892
Binary star,13,32,44,19900.844660194176
Binoculars,11,41,21,19060.106796116506
Binomial nomenclature,16,32,307,51375.46601941747
Biodiesel,28,86,53,27419.155339805824
Biodiversity,74,150,100,78058.28155339806
Biofuel,17,77,41,35359.6213592233
Bioinformatics,13,37,28,36687.64077669903
Biology,281,774,137,105647.8640776699
Bionicle  Mask of Light,0,0,4,
Biosphere,41,112,45,30836.980582524273
Biotechnology,17,32,54,68786.33009708738
Bird,313,1158,448,143806.56310679612
Bird migration,38,99,119,25333.757281553397
Bird of prey,29,89,36,42581.728155339806
Birmingham,12,36,136,121992.35922330097
Birth control,21,40,41,36490.53398058253
Bismuth,6,20,60,53915.22330097087
Bison,7,33,21,56764.611650485436
Bissau,4,16,86,9064.932038834952
Björn Borg,1,8,32,75036.1359223301
Bjørnøya,4,2,19,243.74757281553397
Black-backed Jackal,2,14,10,104.51456310679612
Black-footed Cat,0,0,13,391.28155339805824
Black-winged Stilt,2,7,15,122.48543689320388
Black Death,41,70,109,300740.3786407767
Black Rhinoceros,7,14,23,849.9126213592233
Black Robin,0,0,9,141.58823529411765
Black Sea,38,138,100,85266.63106796116
Black Seminoles,0,5,8,8197.660194174758
Black Wildebeest,4,25,15,109.85436893203884
Black hole,15,116,42,232649.64077669903
Black panther,7,12,20,95460.79611650485
Black pepper,15,33,69,64794.99029126213
Black widow spider,0,0,11,3378.7184466019417
Blackbird,7,25,43,8050.621359223301
Blackcap,5,12,13,652.2038834951456
Blackjack,7,23,7,64387.83495145631
Blackpool,2,9,15,29720.14563106796
Blacktip reef shark,7,29,10,10654.73786407767
Blade Runner,10,27,36,234156.17475728155
Blaise Pascal,12,39,48,52566.33980582524
Blitzkrieg,9,50,50,43903.796116504855
Blokus,0,0,2,8528.601941747573
Blood type,15,22,11,124323.66990291262
Blue Jay,5,8,17,2069.640776699029
Blue Peter,5,11,14,23660.019417475727
Blue Tit,0,0,14,570.9126213592233
Blue Whale,16,51,30,4901.446601941748
Blue Wildebeest,12,46,31,677.5922330097087
Blue shark,6,50,18,14027.533980582524
Bluegrass music,16,37,18,30867.834951456312
Bluetooth,30,62,21,152135.8640776699
Boa,4,11,71,1957.6601941747572
Board game,16,100,38,34150.65048543689
Boat,27,49,23,26426.242718446603
Bob Dylan,25,84,77,354563.786407767
Bob Marley,17,36,33,369638.63106796116
Bobcat,8,13,20,91726.95145631068
Body mass index,4,20,5,162803.84466019418
Bodyline,8,22,16,9011.339805825242
Boeing 747,21,46,54,133866.9708737864
Bog,12,25,75,24563.427184466018
Bogotá,5,13,28,65117.58252427184
Bohemian Rhapsody,3,17,22,130004.64077669903
